# R V(R) 
8.487960 223.408366 
8.451240 224.287973 
8.392783 217.754961 
8.311779 220.538397 
8.205357 303.363942 
8.078461 213.329590 
7.928502 294.358281 
7.759091 209.363519 
7.566133 204.709322 
7.350064 205.736957 
7.118988 208.356169 
6.598265 198.668632 
6.303810 178.457435 
5.997806 215.197339 
5.675472 173.944580 
5.337686 175.711873 
4.981761 163.889704 
4.620719 154.155080 
4.237146 123.227303 
3.849664 117.638350 
3.033659 90.758230 
2.611119 93.211916 
2.187062 126.136320 
1.746929 57.094622 
